da_id,area_orig,area_clipped
47110689,40120939.687809,1387057.293504
47110581,22648336.607172,2308872.970017
47110694,5171295.089959,1139381.787788
47110397,8682532.895158,2145794.787850
47110540,3991756.613948,1376724.238851
47110664,12066478.257346,4189200.377776
47110691,27565164.417724,10928402.018919
47110325,737441.436453,362002.472657
47110699,5981952.573867,3020269.987455
47110524,4989986.506035,2631493.499989
47110021,2965894.201892,1763239.209737
47110108,1292142.683675,871698.270928
47110147,561004.189847,379519.323933
47110306,3741003.406606,2534106.370704
47110356,821470.007922,588424.617702
47110327,462103.370453,332053.456657
47110506,1421582.165788,1090967.777190
47110668,1512449.707761,1188685.726597
47110311,1122593.403558,914025.817002
47110547,216117.841158,180147.568006
47110075,315531.163452,266201.391086
47110058,597802.113471,517355.456299
47110046,316211.274095,275982.124416
47110670,2580327.450707,2253672.866746
47110077,166545.211876,146542.478426
47110401,1828792.698455,1626130.041703
47110654,3817368.662590,3427785.515193
47110051,484750.450511,439492.381241
47110315,581499.058677,532087.000475
47110314,722984.780906,670470.659825
47110374,1706492.463416,1621910.632335
47110548,1834965.458311,1746046.345073
47110576,1108054.343367,1069936.929799
47110049,2549005.667794,2469281.416820
47110549,211054.105600,205926.113705
47110385,486330.669996,476566.953710
47110434,366255.449494,359239.330372
47110387,873901.878715,863687.917509
47110665,313471.296603,310051.473157
47110556,302632.636667,299646.781813
47110106,1628871.407353,1617389.581187
47110669,446886.877959,445346.192236
47110468,396112.335970,395183.921565
47110070,400804.068610,400127.280693
